t=2025-11-23T23:58:06+0530 lvl=info msg="no configuration paths supplied"
t=2025-11-23T23:58:06+0530 lvl=info msg="using configuration at default config path" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml"
t=2025-11-23T23:58:06+0530 lvl=info msg="open config file" path="/Users/ayush18/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=b416f1508375 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=131463f76782 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41670
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=3133d56317a9 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=c38e0adb45a0 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=84bc334ca3eb l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=6e5d9aaaf816 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=b3e19c5a653c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=ebfd5d641782 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=4fdae04bedc7 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41676
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=e2469e291176 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=3c45b8a4ebab l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=2874ff12b4bb l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:27+0530 lvl=info msg="join connections" obj=join id=b87d2e02dd1d l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:39+0530 lvl=info msg="join connections" obj=join id=92d6efcacb3b l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:39+0530 lvl=info msg="join connections" obj=join id=0e5021ccb225 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=879a2f1cc192 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=408c96de2276 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=9128722d6254 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:40478
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=36945d8b7e6c l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
t=2025-11-24T00:10:40+0530 lvl=info msg="join connections" obj=join id=d8d6f7af1659 l=127.0.0.1:8000 r=[2401:4900:8840:bae0:8fe1:89c3:3800:b6b3]:41668
